,City Name,Cloudiness,Humidity,Temperature,Windspeed,Latitude
0,bambous virieux,75,94,298.15,1.5,-20.3438619
1,santa catalina,12,75,296.053,1.62,33.3878856
2,snyder,1,15,296.59,5.7,32.7178862
3,mbandaka,44,83,299.378,1.87,0.0265717
4,leningradskiy,80,100,264.803,6.92,54.12884210000001
5,iqaluit,40,65,235.15,1.12,63.74669300000001
6,busselton,0,100,290.828,6.72,-33.6554927
7,new norfolk,75,50,297.15,5.7,-42.7828332
8,kapaa,75,56,296.15,8.7,22.0881391
9,banjarmasin,20,94,297.15,2.6,-3.3186067
10,hobart,75,50,297.15,5.7,41.5322592
11,avarua,75,84,303.15,4.6,-21.2129007
12,kathmandu,0,33,277.528,2.12,27.7172453
13,fortuna,0,64,283.15,3.1,40.5981867
14,severo-kurilsk,48,100,269.828,3.32,50.66808
15,albany,90,73,269.14,3.1,42.6525793
16,san miguel,40,73,298.82,2.6,20.9144491
17,naze,64,92,297.628,2.52,51.8666667
18,bagno a ripoli,0,88,274.15,1.0,43.7316252
19,rikitea,0,100,298.728,0.37,-23.119901
20,sao filipe,92,100,293.078,9.47,14.8951679
21,karasburg,0,58,288.828,3.37,-28.0216751
22,mataura,56,80,293.128,2.07,-46.1934288
23,klyuchi,44,84,257.303,3.47,56.322023
24,the valley,40,69,299.15,5.7,34.1825782
25,soubre,32,63,297.778,1.12,5.7866228
26,qaanaaq,12,96,245.803,4.02,77.4670434
27,egvekinot,88,86,268.528,1.37,66.3205041
28,georgetown,75,78,299.15,5.1,38.9076089
29,kudahuvadhoo,44,100,301.278,5.42,2.6707039
30,macusani,88,100,283.953,0.87,-14.072176
31,hilo,1,50,294.74,9.8,19.7070942
32,spasskoye,56,86,262.328,3.57,55.8583684
33,liman,48,81,268.553,8.82,40.583526
34,ostersund,80,74,271.15,6.2,63.1766832
35,hasaki,0,69,273.93,1.0,40.72969990000001
36,sulangan,12,100,299.103,3.47,10.9350177
37,port alfred,92,98,294.728,3.92,-33.5864065
38,dikson,88,96,267.303,13.07,73.50489
39,dhulian,64,75,287.028,1.87,24.6706654
40,ushuaia,56,100,276.578,4.22,-54.8019121
41,yellowknife,90,85,262.15,1.5,62.4539717
42,kavieng,76,100,299.453,3.67,-2.5781167
43,provideniya,88,100,270.953,9.97,64.43272
44,shingu,75,65,281.15,2.6,33.7241048
45,cape town,90,82,289.15,2.1,-33.9248685
46,gulu,44,33,294.578,4.37,2.7724038
47,copala,12,54,301.103,4.17,23.3963895
48,farafangana,92,96,298.978,4.07,-22.817412
49,punta arenas,20,37,283.15,8.2,-53.1638329
50,atuona,88,100,299.553,7.27,-9.803279999999999
51,thompson,20,49,254.15,5.7,33.6454798
52,port hardy,20,64,277.15,5.7,50.7123867
53,port blair,8,100,299.628,3.77,11.6233774
54,lorengau,80,100,299.478,4.82,-2.0349854
55,neepawa,20,60,258.15,10.3,50.2277044
56,taltal,0,66,291.078,1.27,-25.283333
57,vikulovo,76,82,266.078,5.57,56.8178163
58,hermosillo,5,11,305.15,3.6,29.0729673
59,qaqortoq,36,71,259.15,2.6,60.71898640000001
60,palora,0,83,291.378,1.17,-1.7010952
61,geraldton,5,54,257.15,5.7,-28.7773715
62,conde,92,88,299.428,4.67,45.1571854
63,fredonia,40,50,294.06,5.1,42.4538665
64,cherskiy,88,79,253.028,1.37,68.742677
65,grindavik,90,68,270.55,6.7,63.8441808
66,yankton,1,71,258.15,5.1,42.87110879999999
67,luderitz,0,88,291.15,6.2,-26.6420382
68,inta,64,84,263.628,2.22,66.0395096
69,berlevag,0,79,270.15,19.0,70.7198284
70,naryan-mar,80,83,265.353,6.72,67.67100669999999
71,noyabrsk,80,87,256.803,2.77,63.18419590000001
72,faanui,88,100,300.428,8.37,-16.5004126
73,kaitangata,68,67,293.128,6.12,-46.28334
74,puerto ayora,20,58,303.15,4.1,-0.7432918
75,mar del plata,88,56,285.303,7.17,-38.0054771
76,neuquen,0,20,295.15,6.7,-38.9516784
77,hermanus,88,100,288.828,2.87,-34.4092004
79,barrow,0,42,291.328,4.82,71.29055559999999
80,aasiaat,36,100,258.578,8.42,68.70697659999999
81,merauke,68,100,300.378,2.07,-8.4991117
82,puerto cabezas,75,94,300.15,4.1,14.0391161
83,isangel,0,98,300.603,6.17,-19.54172
84,saint anthony,1,41,276.85,5.7,38.7200054
85,airai,48,92,295.878,0.62,7.396611799999999
86,hamilton,90,88,292.15,6.7,39.3995008
87,punta alta,75,52,306.15,2.6,-38.8766081
88,carutapera,80,95,298.178,3.32,-1.3464282
89,hofn,92,100,275.353,7.82,64.24970259999999
90,miranda,40,54,301.15,5.1,10.2509303
91,nadym,76,87,260.528,2.57,65.53447299999999
92,spitak,90,92,270.15,1.0,40.8318278
93,san francisco,1,31,297.07,2.1,37.7749295
94,taoudenni,0,48,278.978,2.42,22.6764132
95,dingle,12,82,296.803,1.77,52.14093889999999
96,xai-xai,56,98,298.303,3.82,-25.060476
97,ligayan,44,100,300.078,6.72,4.662637
98,hithadhoo,80,100,301.528,4.57,-0.6060574
99,fairbanks,1,76,251.17,1.32,64.8377778
100,kunzell,44,77,264.878,1.17,50.5356779
101,melur,75,94,295.15,2.97,10.0332576
102,kosonsoy,8,63,270.15,2.1,41.2471491
103,whitehorse,5,76,253.15,3.1,60.7211871
104,saldanha,24,84,272.528,2.12,-33.0276981
105,pangnirtung,40,54,239.15,2.47,66.1465578
106,saint-philippe,1,67,265.31,3.1,45.3569439
107,tuktoyaktuk,90,84,260.77,5.7,69.445358
108,vaini,88,47,292.078,1.92,-21.1935
109,imbituba,20,83,299.15,4.6,-28.227627
110,goderich,92,85,266.103,3.12,43.7428345
111,bilibino,36,71,258.428,1.07,68.05963899999999
112,kutum,0,73,284.278,1.32,14.2025174
113,karratha,8,81,301.178,2.17,-20.73535
114,talnakh,88,86,259.203,3.17,69.5
115,aklavik,75,78,264.15,1.0,68.219916
116,chuy,48,93,296.478,3.42,35.421356
117,taunggyi,8,88,280.803,0.97,20.7887571
118,zharkent,0,43,249.853,0.97,44.166512
119,fukue,75,56,277.14,4.6,32.7018615
120,dunedin,48,68,292.678,4.02,28.0197404
121,denia,12,100,284.978,9.17,38.8387992
122,narsaq,24,71,259.15,2.6,60.9129622
123,nizhniy kuranakh,56,62,242.953,2.32,58.816667
124,alta floresta,36,85,299.203,1.52,-9.8764576
125,barcelos,0,81,280.78,4.1,41.5317419
126,sept-iles,5,44,254.15,1.5,50.21329679999999
127,pevek,20,98,258.603,3.12,69.692947
128,butaritari,0,99,301.453,5.37,3.1166667
129,vila velha,75,74,301.15,2.1,-20.3477821
130,araouane,0,33,283.603,3.67,18.904265
131,lavrentiya,92,100,268.853,8.52,65.58354899999999
132,east london,80,100,296.328,5.72,-33.0291582
133,jalu,92,34,293.553,3.92,29.040621
134,bredasdorp,92,82,291.15,6.7,-34.5385222
135,parati,40,78,300.15,3.1,-23.2200216
136,katsuura,75,93,276.15,2.6,35.152283
137,kortkeros,76,92,261.15,1.0,61.81713560000001
138,bluff,0,49,301.678,2.07,-29.9218618
139,kolvereid,92,100,275.178,4.37,64.8654945
140,port elizabeth,1,69,276.29,5.17,-33.7139247
141,anloga,20,83,302.15,5.1,5.7872343
142,ayan,64,93,271.228,0.87,56.45405599999999
143,mareeba,20,66,302.15,4.6,-17.0019368
